block_number,n_chunks,chunk_boundaries,source_file,sequence_type,method,participant_id,session,day_index
6,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
7,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
12,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
13,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
14,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
17,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
19,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
21,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
23,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
25,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
29,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
33,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
34,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
36,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
41,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
42,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
45,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
50,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
52,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
53,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
56,2,[1],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
60,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
61,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
62,2,[1],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
66,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
73,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
75,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
82,2,[1],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
85,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
87,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
88,2,[1],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
99,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
100,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
104,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
107,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
108,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
111,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
113,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
117,1,[],SRT/GR_11_Fr_11_20250319_FRA_1_fertig.csv,blue,hsmm_chunking,GR_11_Fr_11,FRA_1,1
