block_number,n_chunks,chunk_boundaries,source_file,sequence_type,method,participant_id,session,day_index
6,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
7,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
12,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
13,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
14,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
17,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
19,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
23,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
27,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
29,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
33,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
34,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
36,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
43,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
47,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
53,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
56,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
60,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
61,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
62,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
66,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
69,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
75,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
76,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
81,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
82,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
83,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
87,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
88,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
89,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
90,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
91,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
98,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
99,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
100,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
109,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
110,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
111,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
112,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
113,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
115,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
117,1,[],SRT/GR_01_Fr_01_20250206_FRA_1_fertig.csv,blue,hsmm_chunking,GR_01_Fr_01,FRA_1,1
