block_number,n_chunks,chunk_boundaries,source_file,sequence_type,method,participant_id,session,day_index
3,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
67,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
68,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
73,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
75,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
79,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
86,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
106,2,[4],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
107,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
108,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
113,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
114,1,[],SRT/GR_09_Hr_09_20250310_FRA_2_fertig.csv,blue,hsmm_chunking,GR_09_Hr_09,FRA_2,2
